Species,x,y
1,68.857,26.17046
1,76.5161,26.02536
1,77.33369444,28.57772222
1,77.517772,27.170666
1,77.539101,27.155144
1,77.7982,27.28794
1,77.83862,27.23765
1,78.029439,29.374397
1,78.0791,29.59233
1,78.55023,29.629002
1,78.770813,15.539501
1,78.84,29.56
1,78.89999996,29.44925181
1,79.98081,28.66329
1,79.99858,28.67833
1,79.99995,28.42259
1,80.00679,28.39251
1,80.024029,28.685191
1,80.02594,28.45268
1,80.059153,28.715889
1,80.0738,28.69064
1,80.084325,28.710616
1,80.09568,28.7344
1,80.11209,28.81782
1,80.1285,28.785
1,80.183325,28.883296
1,80.32544,28.46636
1,80.33091,28.40755
1,80.34048,28.38157
1,80.34185,28.42396
1,80.34595,28.48687
1,80.36509,28.3884
1,80.3692,28.30225
1,80.37505556,28.2665
1,80.37604,28.36105
1,80.38287,28.33507
1,80.38424,28.20925
1,80.39381,28.31592
1,80.39518,28.28584
1,80.41325,28.27636111
1,80.413467,28.369447
1,80.4157,28.30088
1,80.428,28.41712
1,80.43758333,28.39244444
1,80.45125,28.31045
1,80.45809,28.37746
1,80.5127048,15.8414409
1,80.5330467,15.8488824
1,80.54288,28.64961
1,80.54383,28.53603
1,80.54972,28.67833
1,80.55094444,28.33380556
1,80.56066,28.59764
1,80.56715,28.537
1,80.57687,28.49618
1,80.57707,28.63047
1,80.59437,28.51271
1,80.59622,28.57029
1,80.59688889,28.482
1,80.59897222,28.60638889
1,80.6115067,15.8964772
1,80.61283,28.55158
1,80.62158,28.52728
1,80.62255,28.50396
1,80.63841667,28.4775
1,80.64296,28.50979
1,80.66629,28.46508
1,80.66823,28.39899
1,80.6692,28.43884
1,80.67309,28.51757
1,80.68378,28.47675
1,80.68767,28.45245
1,80.71625,28.47394444
1,80.7165,28.50805556
1,80.71974,28.35331
1,80.72363,28.43884
1,80.73432,28.4126
1,80.73529,28.45731
1,80.7421,28.35428
1,80.74501,28.37567
1,80.74696,28.49716
1,80.752722,28.429111
1,80.75279,28.39705
1,80.76834,28.37664
1,80.77125,28.44467
1,80.77223,28.41649
1,80.77709,28.35623
1,80.78927778,28.38144444
1,80.79555,28.39996
1,80.82277,28.39025
1,80.82461111,28.45416667
1,80.82661,15.81506
1,80.83346,28.42912
1,80.84415,28.40094
1,80.86164,28.45245
1,80.862364,15.805329
1,80.863207,15.823378
1,80.86456,28.39705
1,80.8665,28.47383
1,80.87039,28.42523
1,80.87445,15.78174
1,80.88792,15.74556
1,80.8909822,15.7656162
1,80.90441,28.41551
1,80.9101,15.8994
1,80.913679,15.8270807
1,80.9262157,15.7382732
